City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Saldanha,ZA,-33.0117,17.9442,66.25,76,0,5.12,clear sky
263,Goure,NE,13.9835,10.2704,88.07,6,42,4.68,scattered clouds
264,Hurghada,EG,27.2574,33.8129,80.64,29,0,13.8,clear sky
265,Taft,IR,31.7471,54.2088,71.55,12,20,6.91,few clouds
266,Saint-Joseph,RE,-21.3667,55.6167,73.78,88,96,14.63,moderate rain
267,Lahaina,US,20.8783,-156.6825,74.44,88,45,13.6,scattered clouds
268,Bac Giang,VN,21.2667,106.2,62.67,73,0,1.05,clear sky
269,Victoria,HK,22.2855,114.1577,65.32,71,0,11.01,clear sky
270,Havre-Saint-Pierre,CA,50.2334,-63.5986,39.56,48,0,18.41,clear sky
271,Bonavista,CA,48.6499,-53.1147,37.42,81,99,15.17,overcast clouds
272,Murray Bridge,AU,-35.1167,139.2667,56.12,92,1,4.14,clear sky
273,Uyuni,BO,-20.4597,-66.825,56.16,18,2,19.15,clear sky
274,Sorong,ID,-0.8833,131.25,78.55,86,66,6.69,broken clouds
275,Aitape,PG,-3.1374,142.3475,77.45,90,95,4.47,overcast clouds
276,Tommot,RU,58.9564,126.2925,10.67,98,100,4.38,overcast clouds
277,Vilyuysk,RU,63.7553,121.6247,-0.02,100,100,4.07,overcast clouds
278,Saint George,US,37.1041,-113.5841,70.79,23,75,5.75,broken clouds
279,Vila Velha,BR,-20.3297,-40.2925,87.75,75,40,10.36,scattered clouds
280,Mattru,SL,7.6244,-11.8332,86.04,60,84,6.51,light rain
281,Adzhamka,UA,48.5424,32.5354,38.52,84,100,8.95,overcast clouds
282,Flinders,AU,-34.5833,150.8552,63.25,76,40,3.0,scattered clouds
283,Kayasula,RU,44.325,45.0,59.76,63,62,11.27,broken clouds
284,Anadyr,RU,64.75,177.4833,-7.1,77,0,4.47,clear sky
285,Hauterive,FR,46.0901,3.4459,38.16,92,97,4.63,overcast clouds
286,Lompoc,US,34.6391,-120.4579,62.13,86,100,5.75,overcast clouds
287,Kaeo,NZ,-35.1,173.7833,66.33,91,49,1.59,scattered clouds
288,Zalantun,CN,48.0,122.7167,46.29,38,25,10.42,scattered clouds
289,Flin Flon,CA,54.7682,-101.865,31.84,59,100,6.91,overcast clouds
290,Guerrero Negro,MX,27.9769,-114.0611,64.26,57,78,13.47,broken clouds
291,Bani Walid,LY,31.7566,13.9942,66.04,51,0,13.42,clear sky
292,Along,IN,28.1667,94.7667,66.4,99,100,0.92,overcast clouds
293,Aklavik,CA,68.2191,-135.0107,-13.0,70,20,6.91,few clouds
294,Vallenar,CL,-28.5708,-70.7581,82.9,23,0,8.48,clear sky
295,Half Moon Bay,US,37.4636,-122.4286,71.06,61,20,8.05,few clouds
296,Iralaya,HN,15.0,-83.2333,83.77,66,16,9.89,few clouds
297,Mollendo,PE,-17.0231,-72.0147,72.45,73,71,11.1,broken clouds
298,Gijon,ES,43.5357,-5.6615,47.84,71,47,8.99,scattered clouds
299,Buenos Aires,AR,-34.6132,-58.3772,73.29,64,40,9.22,scattered clouds
300,Tongliao,CN,43.6125,122.2653,51.37,31,1,21.94,clear sky
301,Sisimiut,GL,66.9395,-53.6735,35.02,88,56,0.76,broken clouds
302,Chicama,PE,-7.8447,-79.1469,68.54,61,90,8.57,overcast clouds
303,Kosa,RU,59.9445,54.9977,36.64,100,100,11.63,overcast clouds
